Area,year,month,avg_effective_nok_ex,avg_spot_nok_ex
NO1,2020,1,0.2437,0.2437
NO1,2020,2,0.1262,0.1262
NO1,2020,3,0.0892,0.0892
NO1,2020,4,0.0533,0.0533
NO1,2020,5,0.0794,0.0794
NO1,2020,6,0.0156,0.0156
NO1,2020,7,0.0151,0.0151
NO1,2020,8,0.0389,0.0389
NO1,2020,9,0.1019,0.1019
NO1,2020,10,0.1434,0.1434
NO1,2020,11,0.0500,0.0500
NO1,2020,12,0.2119,0.2143
NO1,2021,1,0.4889,0.5006
NO1,2021,2,0.5002,0.5448
NO1,2021,3,0.4206,0.4219
NO1,2021,4,0.4482,0.4520
NO1,2021,5,0.4836,0.4848
NO1,2021,6,0.4691,0.4691
NO1,2021,7,0.5754,0.5754
NO1,2021,8,0.7007,0.7491
NO1,2021,9,0.7830,1.0833
NO1,2021,10,0.7481,0.9616
NO1,2021,11,0.7751,1.0605
NO1,2021,12,0.8520,1.7701
NO1,2022,1,0.8148,1.4056
NO1,2022,2,0.7954,1.2044
NO1,2022,3,0.8624,1.8740
NO1,2022,4,0.8483,1.7376
NO1,2022,5,0.7995,1.6436
NO1,2022,6,0.8137,1.4996
NO1,2022,7,0.8280,1.6709
NO1,2022,8,1.0191,3.4406
NO1,2022,9,1.0269,3.5767
NO1,2022,10,0.7528,1.3174
NO1,2022,11,0.6177,1.1243
NO1,2022,12,0.9389,2.6822
NO1,2023,1,0.7755,1.2655
NO1,2023,2,0.7865,1.1480
NO1,2023,3,0.7834,1.1244
NO1,2023,4,0.7707,1.1077
NO1,2023,5,0.6688,0.7953
NO1,2023,6,0.6748,0.7335
NO1,2023,7,0.3684,0.3689
NO1,2023,8,0.2003,0.2003
NO1,2023,9,0.0112,0.0112
NO1,2023,10,0.3868,0.4305
NO1,2023,11,0.7461,1.0481
NO1,2023,12,0.6980,0.9373
NO1,2024,1,0.7176,0.9183
NO1,2024,2,0.6385,0.6697
NO1,2024,3,0.6459,0.6759
NO1,2024,4,0.5684,0.6013
NO1,2024,5,0.3643,0.3736
NO1,2024,6,0.3758,0.3832
NO1,2024,7,0.2860,0.2860
NO1,2024,8,0.1286,0.1286
NO1,2024,9,0.2095,0.2116
NO1,2024,10,0.3845,0.3983
NO1,2024,11,0.4865,0.5605
NO1,2024,12,0.4773,0.6348
NO1,2025,1,0.5608,0.7512
NO1,2025,2,0.6852,0.9436
NO1,2025,3,0.4674,0.4773
NO1,2025,4,0.5484,0.5695
NO1,2025,5,0.6918,0.7829
NO1,2025,6,0.5905,0.6073
NO1,2025,7,0.5264,0.5361
NO1,2025,8,0.6025,0.7539
NO2,2020,1,0.2437,0.2437
NO2,2020,2,0.1250,0.1250
NO2,2020,3,0.0888,0.0888
NO2,2020,4,0.0532,0.0532
NO2,2020,5,0.0792,0.0792
NO2,2020,6,0.0156,0.0156
NO2,2020,7,0.0151,0.0151
NO2,2020,8,0.0410,0.0410
NO2,2020,9,0.1019,0.1019
NO2,2020,10,0.1434,0.1434
NO2,2020,11,0.0500,0.0500
NO2,2020,12,0.2119,0.2143
NO2,2021,1,0.4877,0.4992
NO2,2021,2,0.4796,0.4877
NO2,2021,3,0.4205,0.4218
NO2,2021,4,0.4406,0.4437
NO2,2021,5,0.4842,0.4854
NO2,2021,6,0.5488,0.5488
NO2,2021,7,0.5951,0.5951
NO2,2021,8,0.7009,0.7493
NO2,2021,9,0.7830,1.0833
NO2,2021,10,0.7493,0.9738
NO2,2021,11,0.7751,1.0606
NO2,2021,12,0.8520,1.7696
NO2,2022,1,0.8148,1.4055
NO2,2022,2,0.7954,1.2044
NO2,2022,3,0.8624,1.8740
NO2,2022,4,0.8482,1.7366
NO2,2022,5,0.8000,1.6472
NO2,2022,6,0.8503,1.8639
NO2,2022,7,0.9244,2.6312
NO2,2022,8,1.1093,4.3429
NO2,2022,9,1.0269,3.5767
NO2,2022,10,0.7534,1.3211
NO2,2022,11,0.6199,1.1266
NO2,2022,12,0.9389,2.6821
NO2,2023,1,0.7755,1.2655
NO2,2023,2,0.7865,1.1488
NO2,2023,3,0.7834,1.1244
NO2,2023,4,0.7707,1.1077
NO2,2023,5,0.6750,0.8127
NO2,2023,6,0.7267,0.9655
NO2,2023,7,0.6079,0.6882
NO2,2023,8,0.6396,0.7279
NO2,2023,9,0.5240,0.5759
NO2,2023,10,0.4609,0.5046
NO2,2023,11,0.7461,1.0481
NO2,2023,12,0.6951,0.9108
NO2,2024,1,0.7120,0.8618
NO2,2024,2,0.6359,0.6650
NO2,2024,3,0.6460,0.6759
NO2,2024,4,0.5645,0.5974
